target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,folds,fold_mcc_mean,fold_mcc_std
multiclass,15.0,motion_pulse_thermal,svm_rbf,group_cv,458,209,0.7183406113537117,0.6658749542485464,0.7011652492793329,0.6658749542485464,0.6754485133618413,0.6528486348806595,4,0.6498400754465559,0.10984690588014319
multiclass,15.0,pulse_only,dummy_most_frequent,group_cv,458,38,0.1812227074235808,0.11887880506712044,0.051006797486212646,0.11887880506712044,0.06970751191856721,-0.12250104967165146,4,0.0,0.0
multiclass,15.0,pulse_only,extra_trees,group_cv,458,38,0.574235807860262,0.550169296810207,0.5589772057199281,0.550169296810207,0.5519099867708991,0.4760952785749482,4,0.4707889176642917,0.1120268909570354
multiclass,15.0,pulse_only,hist_gradient_boosting,group_cv,458,38,0.519650655021834,0.5140713991310052,0.5278790706115474,0.5140713991310052,0.5134720685887938,0.4171864481815887,4,0.42057364344377907,0.1390071755977742
multiclass,15.0,pulse_only,knn,group_cv,458,38,0.5152838427947598,0.46222383081089014,0.47124712418369324,0.46222383081089014,0.4605320778009969,0.39978854009669457,4,0.41063690002892483,0.1395267993093427
multiclass,15.0,pulse_only,logistic_regression,group_cv,458,38,0.48253275109170307,0.48951608217229053,0.49291233113421146,0.48951608217229053,0.49054230916109365,0.36502271842661616,4,0.36332295462598296,0.05966639682099254
multiclass,15.0,pulse_only,random_forest,group_cv,458,38,0.5633187772925764,0.5433241814271393,0.5583968407517422,0.5433241814271393,0.5473297507801139,0.4617601150743013,4,0.46102168362777013,0.1469721882552204
multiclass,15.0,pulse_only,svm_rbf,group_cv,458,38,0.49344978165938863,0.4988093660835972,0.5008937723080064,0.4988093660835972,0.4971376376175137,0.38323708173866655,4,0.36740582176808767,0.13534978925172117
multiclass,15.0,thermal_only,dummy_most_frequent,group_cv,458,65,0.1812227074235808,0.11887880506712044,0.051006797486212646,0.11887880506712044,0.06970751191856721,-0.12250104967165146,4,0.0,0.0
multiclass,15.0,thermal_only,extra_trees,group_cv,458,65,0.16593886462882096,0.15057008325937885,0.13445965388251738,0.15057008325937885,0.14171357159096634,-0.02316420002494893,4,-0.010724103361872149,0.057356408666132674
